70
id	 W   H  mn  mx  cnt 
 1	100 100 10  10  100 1 0 0 0 0 0 0
 2	500 100 10  10  100 1 0 0 0 0 0 0
 3	100 500 10  10  100 1 0 0 0 0 0 0
 4	500 500 10  10 1000 1 0 0 0 0 0 0
 5	500 500 10 100  200 1 0 0 0 0 0 0

 6	100 100 10  10  100 0 0 0 0 0 0 0
 7	500 100 10  10  100 0 0 0 0 0 0 0
 8	100 500 10  10  100 0 0 0 0 0 0 0
 9	500 500 10  10 1000 0 0 0 0 0 0 0
10	500 500 10 100  200 0 0 0 0 0 0 0

11	100 100 15  15  100 1 1 0 0 0 0 0
12	500 100 10  15  100 1 0 1 0 0 0 0
13	100 500 10  20  100 1 1 1 0 0 0 0
14	500 500 10  30 1000 1 0 1 0 0 0 0
15	500 500 10 100  200 1 1 1 1 0 0 0

16	100 100 15  15  100 0 1 0 0 0 0 0
17	500 100 10  15  100 0 0 1 0 0 0 0
18	100 500 10  20  100 0 1 1 0 0 0 0
19	500 500 10  30 1000 0 0 1 0 0 0 0
20	500 500 10 100  200 0 1 1 1 0 0 0

21	100 100 10  10  100 1 0 0 0 1 0 0
22	500 100 10  10  100 1 0 0 0 1 0 0
23	100 500 10  10  100 1 0 0 0 1 0 0
24	500 500 10  10 1000 1 0 0 0 1 0 0
25	500 500 10 100  200 1 0 0 0 1 0 0

26	100 100 10  10  100 0 0 0 0 1 0 0
27	500 100 10  10  100 0 0 0 0 1 0 0
28	100 500 10  10  100 0 0 0 0 1 0 0
29	500 500 10  10 1000 0 0 0 0 1 0 0
30	500 500 10 100  200 0 0 0 0 1 0 0

31	100 100 15  15  100 1 1 0 0 1 0 0
32	500 100 10  15  100 1 0 1 0 1 0 0
33	100 500 10  20  100 1 1 1 0 1 0 0
34	500 500 10  30 1000 1 0 1 0 1 0 0
35	500 500 10 100  200 1 1 1 1 1 0 0

36	100 100 15  15  100 0 1 0 0 1 0 0
37	500 100 10  15  100 0 0 1 0 1 0 0
38	100 500 10  20  100 0 1 1 0 1 0 0
39	500 500 10  30 1000 0 0 1 0 1 0 0
40	500 500 10 100  200 0 1 1 1 1 0 0

41	500 500 25 100  200 0 1 1 1 0 1 0
42	500 500 25 100  200 1 1 1 1 1 1 0
43	500 500 25 100  200 0 1 1 1 1 1 0
44	500 500 25 100  200 1 1 1 1 0 1 0
45	500 500 25 100  200 0 1 1 1 1 1 0
46	500 500 25 100  200 1 1 1 1 1 1 0
47	500 500 25 100  200 0 1 1 1 0 1 0
48	500 500 25 100  200 1 1 1 1 1 1 0
49	500 500 25 100  200 0 1 1 1 1 1 0
50	500 500 25 100  200 1 1 1 1 0 1 0

51	800 800 25  30  200 0 0 0 0 0 0 1
52	800 800 25  40  200 0 0 0 0 0 0 1
53	800 800 25  50  200 0 0 0 0 0 0 1
54	800 800 25  60  200 0 0 0 0 0 0 1
55	800 800 25  70  200 0 0 0 0 0 0 1
56	800 800 25  80  200 0 0 0 0 0 0 1
57	800 800 25  90  200 0 0 0 0 0 0 1
58	800 800 25 100  200 0 0 0 0 0 0 1
59	800 800 25 120  200 0 0 0 0 0 0 1
60	800 800 25 130  200 0 0 0 0 0 0 1
61	800 800 25 140  200 0 0 0 0 0 0 1
62	800 800 25 150  200 0 0 0 0 0 0 1
63	800 800 25 160  200 0 0 0 0 0 0 1
64	800 800 25 170  200 0 0 0 0 0 0 1
65	800 800 25 180  200 0 0 0 0 0 0 1
66	800 800 25 190  200 0 0 0 0 0 0 1
67	800 800 25 200  200 0 0 0 0 0 0 1
68	800 800 25 225  200 0 0 0 0 0 0 1
69	800 800 25 230  200 0 0 0 0 0 0 1
70	800 800 25 300  200 0 0 0 0 0 0 1
---------
01-05 - квадрати
06-10 - прямокутники
11-15 - кольорові квадрати
16-20 - кольорові прямокутники
21-40 - аналогічно 01-20, тільки is_rotate = true
41-50 - is_arcs = true
